_id,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,Unnamed: 0,sold_in_last_month,status_code,BSR_classificationRanks_rank,BSR_displayGroupRanks_rank
6709506cf83cce80e2fd9f90,Inalsa Vacuum Cleaner Wet & Dry 15L 1400W with Steel Tank-Micro WD15 with 3in1 Multifunction Wet/Dry/Blowing and Hepa Filt...,appliances,All Appliances,https://m.media-amazon.com/images/I/51w4CoEXFnL._AC_UL320_.jpg,https://www.amazon.in/Inalsa-1400W-Micro-WD15-Multifunction-Filtration/dp/B09SB36BJX/ref=sr_1_1157?qid=1679135656&s=appliances&sr=1-1157,4.1,495,"₹4,241","₹11,995",1156,469,200,19,1431
6709506cf83cce80e2fd9f91,"Whirlpool 8.5 kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE 8.5 TRB DRY GREY DAZZLE (10YR)-N, Grey Dazzle, 2x ...",appliances,All Appliances,https://m.media-amazon.com/images/I/41Z10qdu1QL._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Semi-Automatic-Loading-Washing-Machine/dp/B0BT22PQF8/ref=sr_1_1161?qid=1679135656&s=appliances&sr=1-1161,4.3,877,"₹13,490","₹17,400",1160,401,200,19,1435
6709506cf83cce80e2fd9f92,"Bosch 360 Degree High Pressure Washer Gun (135 Bar) - Easy Aquatak 100, 10 & 120, Universal Aquatak 125 & 130 e Gun with 4...",appliances,All Appliances,https://m.media-amazon.com/images/I/61kvs2g-d8L._AC_UL320_.jpg,https://www.amazon.in/Bosch-F016800536-Pressure-Washer-Accessories/dp/B078W46J7L/ref=sr_1_1163?qid=1679135656&s=appliances&sr=1-1163,3.8,943,"₹1,899","₹2,499",1162,306,200,19,1437
6709506cf83cce80e2fd9f93,"Atomberg MG1 Mixer Grinder with BLDC Motor, Slow Mode & Advanced Safety Features, 3 Jars and Chopper (Red wine)",appliances,All Appliances,https://m.media-amazon.com/images/I/81ye-5qDWWL._AC_UL320_.jpg,https://www.amazon.in/Atomberg-Mixer-Grinder-Motor-Chopper/dp/B09Q911W2X/ref=sr_1_1166?qid=1679135656&s=appliances&sr=1-1166,4.1,640,"₹7,699","₹11,470",1165,441,200,19,1440
6709506cf83cce80e2fd9f94,"MILTON Smart Stainless Steel Egg Boiler - 500 Watts, (Boil Up to 8 Eggs at a Time)",appliances,All Appliances,https://m.media-amazon.com/images/I/61scNjEst3L._AC_UL320_.jpg,https://www.amazon.in/MILTON-Smart-Stainless-Steel-Boiler/dp/B09V45H1PC/ref=sr_1_1170?qid=1679135656&s=appliances&sr=1-1170,4.3,61,"₹1,299","₹2,499",1169,438,200,19,1444
6709506cf83cce80e2fd9f95,"Amazon Brand - Solimo 2000/1000 Watts Room Heater with Adjustable Thermostat (ISI certified, White colour, Ideal for small...",appliances,All Appliances,https://m.media-amazon.com/images/I/8156ue8HEXL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-2000-Watt-certified/dp/B07VX71FZP/ref=sr_1_1172?qid=1679135656&s=appliances&sr=1-1172,4,"20,246",₹999,"₹2,000",1171,404,200,19,1446
6709506cf83cce80e2fd9f96,BAJAJ VACCO Radiant Electric Coil HOT Plate 1250 Watt PC W/REG - Black,appliances,All Appliances,https://m.media-amazon.com/images/I/51-FEt+YTDL._AC_UL320_.jpg,https://www.amazon.in/BAJAJ-VACCO-Electric-Coil-Plate/dp/B07F8TV11K/ref=sr_1_1173?qid=1679135656&s=appliances&sr=1-1173,3.8,612,"₹1,594","₹1,920",1172,383,200,19,1447
6709506cf83cce80e2fd9f97,"KENT Gold+ 20-litres Gravity Based Water Purifier, White and Blue, 54 x 36 x 38 cm ; 3.4 Kg",appliances,All Appliances,https://m.media-amazon.com/images/I/7130-ObeHVL._AC_UL320_.jpg,https://www.amazon.in/Gold-20-Litres-Gravity-Based-Purifier/dp/B009DA69KS/ref=sr_1_1176?qid=1679135656&s=appliances&sr=1-1176,3.7,"3,451","₹2,899","₹3,200",1175,427,200,19,1450
6709506cf83cce80e2fd9f98,"Haier 6 kg Fully-Automatic Top Loading Washing Machine (HWM60-1269DB, Moonlight Grey)",appliances,All Appliances,https://m.media-amazon.com/images/I/2188UNxuyDL._AC_UL320_.jpg,https://www.amazon.in/Haier-Fully-Automatic-Loading-HWM60-1269DB-Moonlight/dp/B0826Y7LLL/ref=sr_1_1178?qid=1679135657&s=appliances&sr=1-1178,4.2,593,"₹12,490","₹17,750",1177,476,200,19,1452
6709506cf83cce80e2fd9f99,Kuber Industries Disney Print Round Laundry Bag/Bin|Water Proof Canvas Material & 3D Disney Print|Toy Storage & Cloth Orga...,appliances,All Appliances,https://m.media-amazon.com/images/I/81zmcY63oTS._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Waterproof-Organizer-CTKTC045421/dp/B089BC57X6/ref=sr_1_1180?qid=1679135657&s=appliances&sr=1-1180,4,"1,473",₹229,₹279,1179,440,200,19,1454
